"Time","C2H013"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/03/1970,""
00:00:00 01/04/1970,""
00:00:00 01/05/1970,""
00:00:00 01/06/1970,""
00:00:00 01/07/1970,""
00:00:00 01/08/1970,""
00:00:00 01/09/1970,""
00:00:00 01/10/1970,""
00:00:00 01/11/1970,""
00:00:00 01/12/1970,""
00:00:00 01/01/1971,""
00:00:00 01/02/1971,""
00:00:00 01/03/1971,""
00:00:00 01/04/1971,""
00:00:00 01/05/1971,""
00:00:00 01/06/1971,""
00:00:00 01/07/1971,       0.237
00:00:00 01/08/1971,       0.237
00:00:00 01/09/1971,       0.237
00:00:00 01/10/1971,       0.237
00:00:00 01/11/1971,       0.237
00:00:00 01/12/1971,       0.237
00:00:00 01/01/1972,       0.237
00:00:00 01/02/1972,       0.237
00:00:00 01/03/1972,       0.237
00:00:00 01/04/1972,       0.237
00:00:00 01/05/1972,       0.237
00:00:00 01/06/1972,       0.237
00:00:00 01/07/1972,       0.237
00:00:00 01/08/1972,       0.237
00:00:00 01/09/1972,       0.237
00:00:00 01/10/1972,       0.216
00:00:00 01/11/1972,       0.237
00:00:00 01/12/1972,       0.237
00:00:00 01/01/1973,       0.237
00:00:00 01/02/1973,       0.237
00:00:00 01/03/1973,       0.237
00:00:00 01/04/1973,       0.237
00:00:00 01/05/1973,       0.237
00:00:00 01/06/1973,       0.237
00:00:00 01/07/1973,       0.237
00:00:00 01/08/1973,       0.237
00:00:00 01/09/1973,       0.237
00:00:00 01/10/1973,       0.237
00:00:00 01/11/1973,       0.237
00:00:00 01/12/1973,       0.237
00:00:00 01/01/1974,       0.237
00:00:00 01/02/1974,       0.237
00:00:00 01/03/1974,       0.237
00:00:00 01/04/1974,       0.237
00:00:00 01/05/1974,       0.237
00:00:00 01/06/1974,       0.237
00:00:00 01/07/1974,       0.237
00:00:00 01/08/1974,       0.237
00:00:00 01/09/1974,       0.237
00:00:00 01/10/1974,       0.237
00:00:00 01/11/1974,       0.237
00:00:00 01/12/1974,       0.237
00:00:00 01/01/1975,       0.237
00:00:00 01/02/1975,       0.237
00:00:00 01/03/1975,       0.237
00:00:00 01/04/1975,       0.237
00:00:00 01/05/1975,       0.237
00:00:00 01/06/1975,       0.237
00:00:00 01/07/1975,       0.237
00:00:00 01/08/1975,       0.237
00:00:00 01/09/1975,       0.237
00:00:00 01/10/1975,       0.237
00:00:00 01/11/1975,       0.237
00:00:00 01/12/1975,       0.237
00:00:00 01/01/1976,       0.237
00:00:00 01/02/1976,       0.237
00:00:00 01/03/1976,       0.237
00:00:00 01/04/1976,       0.237
00:00:00 01/05/1976,       0.237
00:00:00 01/06/1976,       0.237
00:00:00 01/07/1976,       0.237
00:00:00 01/08/1976,       0.237
00:00:00 01/09/1976,       0.237
00:00:00 01/10/1976,       0.237
00:00:00 01/11/1976,       0.237
00:00:00 01/12/1976,       0.237
00:00:00 01/01/1977,       0.237
00:00:00 01/02/1977,       0.237
00:00:00 01/03/1977,       0.237
