"Time,""A2H023"""
and,140.00
"Date,""Discharge (Cumecs)"""
",""Mean"""
00:00:00 01/05/2008,       5.880
00:00:00 01/06/2008,       6.277
00:00:00 01/07/2008,       5.498
00:00:00 01/08/2008,       4.687
00:00:00 01/09/2008,       4.221
00:00:00 01/10/2008,       3.746
00:00:00 01/11/2008,       5.744
00:00:00 01/12/2008,       9.284
00:00:00 01/01/2009,       8.284
00:00:00 01/02/2009,      15.262
00:00:00 01/03/2009,      15.699
00:00:00 01/04/2009,      11.119
00:00:00 01/05/2009,       4.675
00:00:00 01/06/2009,       5.270
00:00:00 01/07/2009,       5.184
00:00:00 01/08/2009,       4.515
00:00:00 01/09/2009,       4.890
00:00:00 01/10/2009,       4.649
00:00:00 01/11/2009,       7.856
00:00:00 01/12/2009,      10.432
00:00:00 01/01/2010,      11.929
00:00:00 01/02/2010,      30.185
00:00:00 01/03/2010,      17.031
00:00:00 01/04/2010,      10.314
00:00:00 01/05/2010,      12.833
00:00:00 01/06/2010,      10.276
00:00:00 01/07/2010,       5.869
00:00:00 01/08/2010,       5.641
00:00:00 01/09/2010,       5.056
00:00:00 01/10/2010,       4.489
00:00:00 01/11/2010,       4.683
00:00:00 01/12/2010,       6.801
00:00:00 01/01/2011,      20.300
00:00:00 01/02/2011,      23.855
00:00:00 01/03/2011,       9.770
00:00:00 01/04/2011,      18.601
00:00:00 01/05/2011,      10.999
00:00:00 01/06/2011,       6.885
00:00:00 01/07/2011,       8.447
00:00:00 01/08/2011,       5.377
00:00:00 01/09/2011,       5.024
00:00:00 01/10/2011,       4.439
00:00:00 01/11/2011,       7.882
00:00:00 01/12/2011,       8.675
00:00:00 01/01/2012,      13.123
00:00:00 01/02/2012,      11.476
00:00:00 01/03/2012,      12.987
00:00:00 01/04/2012,       8.669
00:00:00 01/05/2012,       5.879
00:00:00 01/06/2012,       4.964
00:00:00 01/07/2012,       5.210
00:00:00 01/08/2012,       5.063
00:00:00 01/09/2012,       4.973
00:00:00 01/10/2012,      10.521
00:00:00 01/11/2012,       8.687
00:00:00 01/12/2012,       8.079
00:00:00 01/01/2013,      12.337
00:00:00 01/02/2013,       9.380
00:00:00 01/03/2013,       9.778
00:00:00 01/04/2013,       6.468
00:00:00 01/05/2013,      13.865
00:00:00 01/06/2013,       6.565
00:00:00 01/07/2013,       6.200
00:00:00 01/08/2013,       5.595
00:00:00 01/09/2013,       5.166
00:00:00 01/10/2013,       4.159
00:00:00 01/11/2013,       7.861
00:00:00 01/12/2013,      10.379
00:00:00 01/01/2014,      15.051
00:00:00 01/02/2014,       9.678
00:00:00 01/03/2014,      21.030
00:00:00 01/04/2014,      28.271
00:00:00 01/05/2014,       7.854
00:00:00 01/06/2014,       5.959
00:00:00 01/07/2014,       5.813
00:00:00 01/08/2014,       5.207
00:00:00 01/09/2014,       4.879
00:00:00 01/10/2014,       4.371
00:00:00 01/11/2014,       4.283
00:00:00 01/12/2014,       8.655
00:00:00 01/01/2015,      11.269
00:00:00 01/02/2015,      11.663
00:00:00 01/03/2015,       7.472
00:00:00 01/04/2015,       6.098
00:00:00 01/05/2015,       5.220
00:00:00 01/06/2015,       4.139
00:00:00 01/07/2015,       4.191
00:00:00 01/08/2015,       4.868
00:00:00 01/09/2015,       4.094
00:00:00 01/10/2015,       5.453
00:00:00 01/11/2015,       3.548
00:00:00 01/12/2015,       5.165
00:00:00 01/01/2016,       5.295
00:00:00 01/02/2016,       8.765
00:00:00 01/03/2016,       8.454
00:00:00 01/04/2016,      16.262
00:00:00 01/05/2016,       4.364
00:00:00 01/06/2016,       6.861
00:00:00 01/07/2016,       4.891
00:00:00 01/08/2016,       5.265
00:00:00 01/09/2016,       4.413
00:00:00 01/10/2016,       4.141
00:00:00 01/11/2016,       5.247
00:00:00 01/12/2016,      14.584
00:00:00 01/01/2017,       7.581
00:00:00 01/02/2017,      15.187
00:00:00 01/03/2017,      19.115
00:00:00 01/04/2017,       8.006
00:00:00 01/05/2017,       7.380
00:00:00 01/06/2017,       5.681
00:00:00 01/07/2017,       4.652
00:00:00 01/08/2017,       4.665
00:00:00 01/09/2017,       4.079
00:00:00 01/10/2017,       3.767
00:00:00 01/11/2017,       6.988
00:00:00 01/12/2017,       7.230
00:00:00 01/01/2018,      12.367
00:00:00 01/02/2018,       5.708
00:00:00 01/03/2018,       7.343
00:00:00 01/04/2018,      16.857
00:00:00 01/05/2018,       6.724
"00:00:00 01/06/2018,"""""
