A2H012,,
,,
,,
Date,Time,Discharge in cumecs
1/10/1986,12:00:00,1.801
1/11/1986,12:00:00,5.316
1/12/1986,12:00:00,8.148
1/1/1987,12:00:00,10.805
1/2/1987,12:00:00,10.831
1/3/1987,12:00:00,9.332
1/4/1987,12:00:00,15.782
1/5/1987,12:00:00,5.094
1/6/1987,12:00:00,2.856
1/7/1987,12:00:00,2.634
1/8/1987,12:00:00,2.71
1/9/1987,12:00:00,2.887
1/10/1987,12:00:00,9.122
1/11/1987,12:00:00,5.487
1/12/1987,12:00:00,7.596
1/1/1988,12:00:00,9.572
1/2/1988,12:00:00,6.317
1/3/1988,12:00:00,4.34
1/4/1988,12:00:00,14.271
1/5/1988,12:00:00,4.566
1/6/1988,12:00:00,3.222
1/7/1988,12:00:00,4.4
1/8/1988,12:00:00,3.314
1/9/1988,12:00:00,2.812
1/10/1988,12:00:00,4.089
1/11/1988,12:00:00,3.629
1/12/1988,12:00:00,3.035
1/1/1989,12:00:00,6.135
1/2/1989,12:00:00,5.533
1/3/1989,12:00:00,17.177
1/4/1989,12:00:00,6.976
1/5/1989,12:00:00,4.401
1/6/1989,12:00:00,4.322
1/7/1989,12:00:00,5.79
1/8/1989,12:00:00,3.624
1/9/1989,12:00:00,3.168
1/10/1989,12:00:00,2.415
1/11/1989,12:00:00,2.681
1/12/1989,12:00:00,8.403
1/1/1990,12:00:00,5.725
1/2/1990,12:00:00,3.826
1/3/1990,12:00:00,5.937
1/4/1990,12:00:00,5.566
1/5/1990,12:00:00,7.496
1/6/1990,12:00:00,4.843
1/7/1990,12:00:00,3.751
1/8/1990,12:00:00,3.497
1/9/1990,12:00:00,3.027
