,A2H008,
,,
,,
Date,Time,Discharge in cumecs 
1/10/1975,12:00:00,0.048
1/11/1975,12:00:00,0.048
1/12/1975,12:00:00,0.048
1/1/1976,12:00:00,0.048
1/2/1976,12:00:00,0.048
1/3/1976,12:00:00,0.048
1/4/1976,12:00:00,0.048
1/5/1976,12:00:00,0.048
1/6/1976,12:00:00,0.048
1/7/1976,12:00:00,0.051
1/8/1976,12:00:00,0.052
1/9/1976,12:00:00,0.052
1/10/1976,12:00:00,0.053
1/11/1976,12:00:00,0.054
1/12/1976,12:00:00,0.054
1/1/1977,12:00:00,0.052
1/2/1977,12:00:00,0.052
1/3/1977,12:00:00,0.052
1/4/1977,12:00:00,0.05
1/5/1977,12:00:00,0.05
1/6/1977,12:00:00,0.05
1/7/1977,12:00:00,0.05
1/8/1977,12:00:00,0.05
1/9/1977,12:00:00,0.05
1/10/1977,12:00:00,0.05
1/11/1977,12:00:00,0.05
1/12/1977,12:00:00,0.05
1/1/1978,12:00:00,0.048
1/2/1978,12:00:00,0.05
1/3/1978,12:00:00,0.056
1/4/1978,12:00:00,0.062
1/5/1978,12:00:00,0.063
1/6/1978,12:00:00,0.063
1/7/1978,12:00:00,0.063
1/8/1978,12:00:00,0.063
1/9/1978,12:00:00,0.063
1/10/1978,12:00:00,0.063
1/11/1978,12:00:00,0.063
1/12/1978,12:00:00,0.063
1/1/1979,12:00:00,0.061
1/2/1979,12:00:00,0.061
1/3/1979,12:00:00,0.057
1/4/1979,12:00:00,0.055
1/5/1979,12:00:00,0.055
1/6/1979,12:00:00,0.055
1/7/1979,12:00:00,0.055
1/8/1979,12:00:00,0.055
1/9/1979,12:00:00,0.055
1/10/1979,12:00:00,0.052
1/11/1979,12:00:00,0.052
1/12/1979,12:00:00,0.048
1/1/1980,12:00:00,0.048
1/2/1980,12:00:00,0.048
1/3/1980,12:00:00,0.048
1/4/1980,12:00:00,0.048
1/5/1980,12:00:00,0.048
1/6/1980,12:00:00,0.048
1/7/1980,12:00:00,0.048
1/8/1980,12:00:00,0.048
1/9/1980,12:00:00,0.048
1/10/1980,12:00:00,0.048
1/11/1980,12:00:00,0.048
1/12/1980,12:00:00,0.048
1/1/1981,12:00:00,0.048
1/2/1981,12:00:00,0.048
1/3/1981,12:00:00,0.048
1/4/1981,12:00:00,0.047
1/5/1981,12:00:00,0.046
1/6/1981,12:00:00,0.045
1/7/1981,12:00:00,0.045
1/8/1981,12:00:00,0.045
1/9/1981,12:00:00,0.045
1/10/1981,12:00:00,0.045
1/11/1981,12:00:00,0.045
1/12/1981,12:00:00,0.042
1/1/1982,12:00:00,0.041
1/2/1982,12:00:00,0.041
1/3/1982,12:00:00,0.041
1/4/1982,12:00:00,0.041
1/5/1982,12:00:00,0.04
1/6/1982,12:00:00,0.039
1/7/1982,12:00:00,0.037
1/8/1982,12:00:00,0.036
1/9/1982,12:00:00,0.037
1/10/1982,12:00:00,0.038
1/11/1982,12:00:00,0.036
1/12/1982,12:00:00,0.034
1/1/1983,12:00:00,0.034
1/2/1983,12:00:00,0.034
1/3/1983,12:00:00,0.034
1/4/1983,12:00:00,0.032
1/5/1983,12:00:00,0.031
1/6/1983,12:00:00,0.031
1/7/1983,12:00:00,0.031
1/8/1983,12:00:00,0.031
1/9/1983,12:00:00,0.031
1/10/1983,12:00:00,0.023
1/11/1983,12:00:00,0.043
1/12/1983,12:00:00,0.042
1/1/1984,12:00:00,0.042
1/2/1984,12:00:00,0.042
1/3/1984,12:00:00,0.042
1/4/1984,12:00:00,0.042
1/5/1984,12:00:00,0.042
1/6/1984,12:00:00,0.04
1/7/1984,12:00:00,0.039
1/8/1984,12:00:00,0.039
1/9/1984,12:00:00,0.039
1/10/1984,12:00:00,0.039
1/11/1984,12:00:00,0.039
1/12/1984,12:00:00,0.039
1/1/1985,12:00:00,0.039
1/2/1985,12:00:00,0.038
1/3/1985,12:00:00,0.038
1/4/1985,12:00:00,0.035
1/5/1985,12:00:00,0.034
1/6/1985,12:00:00,0.034
1/7/1985,12:00:00,0.034
1/8/1985,12:00:00,0.034
1/9/1985,12:00:00,0.033
1/10/1985,12:00:00,0.032
1/11/1985,12:00:00,0.031
1/12/1985,12:00:00,0.028
1/1/1986,12:00:00,0.026
1/2/1986,12:00:00,0.026
