,A2H014,
,,
,,
Time,Date,Discharge in cumecs
1/10/1961,12:00:00,0.071
1/11/1961,12:00:00,0.202
1/12/1961,12:00:00,0.329
1/1/1962,12:00:00,0.14
1/2/1962,12:00:00,0.071
1/3/1962,12:00:00,0.086
1/4/1962,12:00:00,0.061
1/5/1962,12:00:00,0.066
1/6/1962,12:00:00,0.071
1/7/1962,12:00:00,0.062
1/8/1962,12:00:00,0.07
1/9/1962,12:00:00,0.071
1/10/1962,12:00:00,0.05
1/11/1962,12:00:00,0.043
1/12/1962,12:00:00,0.759
1/1/1963,12:00:00,0.133
1/2/1963,12:00:00,0.093
1/3/1963,12:00:00,0.061
1/4/1963,12:00:00,0.044
1/5/1963,12:00:00,0.063
1/6/1963,12:00:00,0.056
1/7/1963,12:00:00,0.064
1/8/1963,12:00:00,0.075
1/9/1963,12:00:00,0.069
1/10/1963,12:00:00,0.057
1/11/1963,12:00:00,0.173
1/12/1963,12:00:00,0.943
1/1/1964,12:00:00,0.833
1/2/1964,12:00:00,1.388
1/3/1964,12:00:00,0.226
1/4/1964,12:00:00,0.101
1/5/1964,12:00:00,0.058
1/6/1964,12:00:00,0.058
1/7/1964,12:00:00,0.06
1/8/1964,12:00:00,0.065
1/9/1964,12:00:00,0.057
1/10/1964,12:00:00,0.051
1/11/1964,12:00:00,0.484
1/12/1964,12:00:00,0.283
1/1/1965,12:00:00,0.594
1/2/1965,12:00:00,0.242
1/3/1965,12:00:00,0.144
1/4/1965,12:00:00,0.052
1/5/1965,12:00:00,0.055
1/6/1965,12:00:00,0.058
1/7/1965,12:00:00,0.058
1/8/1965,12:00:00,0.061
1/9/1965,12:00:00,0.056
1/10/1965,12:00:00,0.047
1/11/1965,12:00:00,0.031
1/12/1965,12:00:00,0.042
1/1/1966,12:00:00,0.132
1/2/1966,12:00:00,0.157
1/3/1966,12:00:00,0.443
1/4/1966,12:00:00,0.053
1/5/1966,12:00:00,0.045
1/6/1966,12:00:00,0.043
1/7/1966,12:00:00,0.047
1/8/1966,12:00:00,0.037
1/9/1966,12:00:00,0.04
1/10/1966,12:00:00,0.033
1/11/1966,12:00:00,0.567
1/12/1966,12:00:00,0.094
1/1/1967,12:00:00,0.813
1/2/1967,12:00:00,1.091
1/3/1967,12:00:00,1.602
1/4/1967,12:00:00,2.422
1/5/1967,12:00:00,2.533
1/6/1967,12:00:00,0.789
1/7/1967,12:00:00,0.702
1/8/1967,12:00:00,0.321
1/9/1967,12:00:00,0.303
1/10/1967,12:00:00,0.201
1/11/1967,12:00:00,0.175
1/12/1967,12:00:00,0.286
1/1/1968,12:00:00,0.197
1/2/1968,12:00:00,0.127
1/3/1968,12:00:00,0.106
1/4/1968,12:00:00,0.168
1/5/1968,12:00:00,0.176
1/6/1968,12:00:00,0.126
1/7/1968,12:00:00,0.125
1/8/1968,12:00:00,0.129
1/9/1968,12:00:00,0.123
1/10/1968,12:00:00,0.096
1/11/1968,12:00:00,0.063
1/12/1968,12:00:00,0.067
1/1/1969,12:00:00,0.053
1/2/1969,12:00:00,0.049
1/3/1969,12:00:00,0.076
1/4/1969,12:00:00,0.42
1/5/1969,12:00:00,0.125
1/6/1969,12:00:00,0.11
1/7/1969,12:00:00,0.102
1/8/1969,12:00:00,0.093
1/9/1969,12:00:00,0.091
1/10/1969,12:00:00,0.074
1/11/1969,12:00:00,0.594
1/12/1969,12:00:00,0.125
1/1/1970,12:00:00,0.953
1/2/1970,12:00:00,0.165
1/3/1970,12:00:00,0.178
1/4/1970,12:00:00,0.101
1/5/1970,12:00:00,0.084
1/6/1970,12:00:00,
1/7/1970,12:00:00,
1/8/1970,12:00:00,
1/9/1970,12:00:00,0.079
1/10/1970,12:00:00,0.07
1/11/1970,12:00:00,0.077
1/12/1970,12:00:00,0.074
1/1/1971,12:00:00,0.075
1/2/1971,12:00:00,0.253
1/3/1971,12:00:00,0.927
1/4/1971,12:00:00,0.219
1/5/1971,12:00:00,1.853
1/6/1971,12:00:00,0.483
1/7/1971,12:00:00,
1/8/1971,12:00:00,0.215
1/9/1971,12:00:00,0.173
1/10/1971,12:00:00,0.176
1/11/1971,12:00:00,0.173
1/12/1971,12:00:00,0.582
1/1/1972,12:00:00,1.27
1/2/1972,12:00:00,3.465
1/3/1972,12:00:00,0.406
1/4/1972,12:00:00,0.706
1/5/1972,12:00:00,0.331
1/6/1972,12:00:00,
1/7/1972,12:00:00,
1/8/1972,12:00:00,0.164
1/9/1972,12:00:00,
1/10/1972,12:00:00,
1/11/1972,12:00:00,
1/12/1972,12:00:00,
1/1/1973,12:00:00,
1/2/1973,12:00:00,
1/3/1973,12:00:00,
1/4/1973,12:00:00,
1/5/1973,12:00:00,0.599
1/6/1973,12:00:00,0.162
1/7/1973,12:00:00,
1/8/1973,12:00:00,
1/9/1973,12:00:00,
1/10/1973,12:00:00,
1/11/1973,12:00:00,
1/12/1973,12:00:00,
1/1/1974,12:00:00,
1/2/1974,12:00:00,
1/3/1974,12:00:00,
1/4/1974,12:00:00,
1/5/1974,12:00:00,1.319
1/6/1974,12:00:00,
1/7/1974,12:00:00,
1/8/1974,12:00:00,
1/9/1974,12:00:00,
1/10/1974,12:00:00,
1/11/1974,12:00:00,
1/12/1974,12:00:00,
1/1/1975,12:00:00,0.896
1/2/1975,12:00:00,8.139
1/3/1975,12:00:00,5.062
1/4/1975,12:00:00,2.217
1/5/1975,12:00:00,4.493
1/6/1975,12:00:00,1.584
1/7/1975,12:00:00,1.141
1/8/1975,12:00:00,0.902
1/9/1975,12:00:00,0.633
1/10/1975,12:00:00,0.371
1/11/1975,12:00:00,0.306
1/12/1975,12:00:00,0.856
1/1/1976,12:00:00,1.693
1/2/1976,12:00:00,1.904
1/3/1976,12:00:00,4.151
1/4/1976,12:00:00,5.022
1/5/1976,12:00:00,3.343
1/6/1976,12:00:00,4.422
1/7/1976,12:00:00,1.999
1/8/1976,12:00:00,1.515
1/9/1976,12:00:00,0.653
1/10/1976,12:00:00,0.849
1/11/1976,12:00:00,2.72
1/12/1976,12:00:00,1.809
1/1/1977,12:00:00,0.65
1/2/1977,12:00:00,0.739
1/3/1977,12:00:00,1.524
1/4/1977,12:00:00,0.725
1/5/1977,12:00:00,0.698
1/6/1977,12:00:00,0.614
1/7/1977,12:00:00,0.564
1/8/1977,12:00:00,0.571
1/9/1977,12:00:00,1.041
1/10/1977,12:00:00,1.171
1/11/1977,12:00:00,0.534
1/12/1977,12:00:00,0.943
1/1/1978,12:00:00,0.496
1/2/1978,12:00:00,8.5
1/3/1978,12:00:00,9.477
1/4/1978,12:00:00,3.821
1/5/1978,12:00:00,2.697
1/6/1978,12:00:00,2.113
1/7/1978,12:00:00,1.02
1/8/1978,12:00:00,1.696
1/9/1978,12:00:00,1.364
1/10/1978,12:00:00,1.89
1/11/1978,12:00:00,0.816
1/12/1978,12:00:00,0.647
1/1/1979,12:00:00,0.517
1/2/1979,12:00:00,0.453
1/3/1979,12:00:00,0.388
1/4/1979,12:00:00,0.558
1/5/1979,12:00:00,0.393
1/6/1979,12:00:00,0.389
1/7/1979,12:00:00,0.42
1/8/1979,12:00:00,0.455
1/9/1979,12:00:00,
1/10/1979,12:00:00,1.321
1/11/1979,12:00:00,0.824
1/12/1979,12:00:00,1.13
1/1/1980,12:00:00,0.899
1/2/1980,12:00:00,1.83
1/3/1980,12:00:00,3.25
1/4/1980,12:00:00,
1/5/1980,12:00:00,1.184
1/6/1980,12:00:00,0.555
1/7/1980,12:00:00,0.565
1/8/1980,12:00:00,0.562
1/9/1980,12:00:00,0.462
1/10/1980,12:00:00,0.528
1/11/1980,12:00:00,1.345
1/12/1980,12:00:00,1.006
1/1/1981,12:00:00,1.038
1/2/1981,12:00:00,0.791
1/3/1981,12:00:00,1.942
1/4/1981,12:00:00,1.258
1/5/1981,12:00:00,0.477
1/6/1981,12:00:00,0.474
1/7/1981,12:00:00,0.507
1/8/1981,12:00:00,0.488
1/9/1981,12:00:00,0.459
1/10/1981,12:00:00,0.447
1/11/1981,12:00:00,0.914
1/12/1981,12:00:00,0.72
1/1/1982,12:00:00,0.893
1/2/1982,12:00:00,1.663
1/3/1982,12:00:00,1.435
1/4/1982,12:00:00,0.72
1/5/1982,12:00:00,0.483
1/6/1982,12:00:00,0.482
1/7/1982,12:00:00,0.516
1/8/1982,12:00:00,0.602
1/9/1982,12:00:00,0.53
1/10/1982,12:00:00,0.326
1/11/1982,12:00:00,0.338
1/12/1982,12:00:00,0.319
1/1/1983,12:00:00,0.377
1/2/1983,12:00:00,1.088
1/3/1983,12:00:00,0.525
1/4/1983,12:00:00,0.308
1/5/1983,12:00:00,0.266
1/6/1983,12:00:00,0.27
1/7/1983,12:00:00,0.375
1/8/1983,12:00:00,0.342
1/9/1983,12:00:00,0.264
1/10/1983,12:00:00,0.229
1/11/1983,12:00:00,0.434
1/12/1983,12:00:00,1.503
1/1/1984,12:00:00,1.55
1/2/1984,12:00:00,1.545
1/3/1984,12:00:00,0.285
1/4/1984,12:00:00,0.662
1/5/1984,12:00:00,0.466
1/6/1984,12:00:00,0.378
1/7/1984,12:00:00,0.386
1/8/1984,12:00:00,0.381
1/9/1984,12:00:00,0.323
1/10/1984,12:00:00,0.301
1/11/1984,12:00:00,0.526
1/12/1984,12:00:00,0.265
1/1/1985,12:00:00,0.829
1/2/1985,12:00:00,1.368
1/3/1985,12:00:00,0.389
1/4/1985,12:00:00,0.721
1/5/1985,12:00:00,0.344
1/6/1985,12:00:00,0.356
1/7/1985,12:00:00,0.377
1/8/1985,12:00:00,0.338
1/9/1985,12:00:00,0.27
1/10/1985,12:00:00,0.3
1/11/1985,12:00:00,0.717
1/12/1985,12:00:00,3.821
1/1/1986,12:00:00,0.93
1/2/1986,12:00:00,0.984
1/3/1986,12:00:00,0.574
1/4/1986,12:00:00,0.536
1/5/1986,12:00:00,0.492
1/6/1986,12:00:00,0.368
1/7/1986,12:00:00,0.473
1/8/1986,12:00:00,0.346
1/9/1986,12:00:00,0.324
1/10/1986,12:00:00,0.254
1/11/1986,12:00:00,0.954
1/12/1986,12:00:00,1.112
1/1/1987,12:00:00,2.222
1/2/1987,12:00:00,2.02
1/3/1987,12:00:00,1.683
1/4/1987,12:00:00,4.35
1/5/1987,12:00:00,1.452
1/6/1987,12:00:00,0.573
1/7/1987,12:00:00,0.554
1/8/1987,12:00:00,0.534
1/9/1987,12:00:00,0.53
1/10/1987,12:00:00,0.803
1/11/1987,12:00:00,1.347
1/12/1987,12:00:00,1.778
1/1/1988,12:00:00,2.415
1/2/1988,12:00:00,1.446
1/3/1988,12:00:00,0.509
1/4/1988,12:00:00,2.229
1/5/1988,12:00:00,1.025
1/6/1988,12:00:00,0.568
1/7/1988,12:00:00,1.756
1/8/1988,12:00:00,0.623
1/9/1988,12:00:00,0.522
1/10/1988,12:00:00,0.632
1/11/1988,12:00:00,0.674
1/12/1988,12:00:00,0.545
1/1/1989,12:00:00,0.827
1/2/1989,12:00:00,0.821
1/3/1989,12:00:00,2.369
1/4/1989,12:00:00,0.896
1/5/1989,12:00:00,0.808
1/6/1989,12:00:00,0.829
1/7/1989,12:00:00,1.235
1/8/1989,12:00:00,0.715
1/9/1989,12:00:00,0.654
1/10/1989,12:00:00,0.515
1/11/1989,12:00:00,0.52
1/12/1989,12:00:00,1.874
1/1/1990,12:00:00,1.381
1/2/1990,12:00:00,1.149
1/3/1990,12:00:00,1.316
1/4/1990,12:00:00,1.115
1/5/1990,12:00:00,1.455
1/6/1990,12:00:00,0.963
1/7/1990,12:00:00,0.791
1/8/1990,12:00:00,0.776
1/9/1990,12:00:00,0.577
1/10/1990,12:00:00,0.513
1/11/1990,12:00:00,0.728
1/12/1990,12:00:00,0.533
1/1/1991,12:00:00,1.182
1/2/1991,12:00:00,1.331
1/3/1991,12:00:00,1.833
1/4/1991,12:00:00,2.086
