Station No,Place,Catchment Area(km²),Latitude,Longitude,Data Available
A9H004,Mutale River @ Tengwe,320,-22.77105,30.53894,1932-07-26 to 2004-06-22
A9H005,Luvuvhu River @ Nooitgedacht,611,-23.08563,30.17533,1946-01-07 to 2019-09-05
A9H006,Livhungwa River @ Barotta,16,-23.03572,30.27748,1961-11-13 to 2019-09-04
A9H007,Latonanda River @ Levubu Settlement,47,-23.05575,30.24476,1961-08-01 to 2000-02-23
A9H012,Luvuvhu River @ Mhinga,1758,-22.76851,30.88925,1987-11-04 to 2019-09-05
A9H013,Mutale River @ Kruger National Park,1776,-22.43773,31.07783,1988-11-02 to 2019-08-22
A9H024,Mutshindudi River @ Chibase Sibasa,51,-22.94882,30.35615,1994-06-29 to 1999-11-29
A9H025,Mutshindudi River @ Vredenburg,387,-22.8541,30.68616,1995-10-20 to 2019-09-05
A9H027,Latonanda @ Levubu Settlement,46,-23.05249,30.23934,2002-10-23 to 2019-09-04
A9H028,Luvuvhu @ Nooitgedacht,607,-23.08645,30.17487,2003-07-28 to 2019-09-05
A9H029,Mutale River @ Mutale Pump Station,329,-22.77266,30.5364,2003-12-15 to 2019-09-05
B1H001,Olifants River @ Mooifontein,3904.4,-25.80918,29.31945,1904-08-15 to 1951-10-01
B1H002,Spookspruit @ Elandspruit,252,-25.819,29.33775,1956-10-09 to 2019-07-10
B1H003,Little Olifants River @ Rondebosch,1576,-25.7739,29.54251,1957-10-05 to 1967-08-18
B1H004,Klipspruit @ Zaaihoek,376,-25.67363,29.17322,1959-02-08 to 2019-08-21
B1H005,Olifants River @ Wolwekrans,3256,-26.00655,29.25402,1972-07-13 to 2019-08-20
B1H012,Little Olifants River @ Rondebosch,1503,-25.80862,29.5864,1978-01-30 to 2019-08-21
B1H017,Steenkoolspruit @ Aangewys,387,-26.3063,29.27494,1989-11-21 to 2019-07-09
B1H018,Olifants River @ Middelkraal,985,-26.21702,29.45858,1989-11-22 to 2019-08-20
B1H019,Noupoortspruit @ Naauwpoort,88.1,-25.94105,29.25791,1990-03-05 to 2017-11-14
B1H020,Koringspruit @ Vaalkranz,133,-26.10566,29.33077,1990-03-08 to 2006-03-10
B1H021,Steenkoolspruit @ Middeldrift,1356.3,-26.13636,29.26977,1990-10-12 to 2019-08-20
B1H022,Trichardtspruit @ Trichardsfontein,12,-26.49435,29.23903,1991-02-07 to 2019-08-20
B1H032,Blesbokspruit @ Blesboklaagte,,-25.82013,29.20825,1998-01-30 to 2012-05-02
B2H001,Bronkhorst Spruit @ Roodepoort,1580,-25.79251,28.75527,1904-12-01 to 1951-10-25
B2H003,Bronkhorstspruit @ Bronkhorstspruit,1574,-25.79916,28.73591,1982-08-30 to 2019-08-19
B2H004,Osspruit @ Boschkop,123,-25.92461,28.58588,1984-10-08 to 2019-08-19
B2H005,Os Spruit @ Knoppiesfontein,16,-25.99416,28.5122,1984-10-08 to 1997-06-24
B2H006,Osspruit @ Witpoort,54,-25.96766,28.5505,1984-11-14 to 2006-10-04
B2H007,Koffiespruit @ Waaikraal,317,-25.99541,28.6635,1985-08-26 to 2019-08-19
B2H008,Koffiespruit Tributary @ Rietvallei,100,-26.07905,28.56286,1985-08-26 to 2019-08-19
B2H009,Koffie Spruit @ Olifantsfontein,86,-26.09221,28.60332,1985-08-26 to 2002-03-19
B2H013,Bronkhorst Spruit @ Roodepoort,1580,-25.79251,28.75527,1907-02-05 to 1949-01-22
B2H014,Wilge River @ Onverwacht,1086,-25.82586,28.87941,1990-11-07 to 2019-08-19
B2H015,Wilge River @ Zusterstroom,3908,-25.6163,29.01516,1992-10-06 to 2011-05-31
