#STATION,STNAME,SHORTNAME,LATITUDE,LONGITUDE,ACTIVE,COMMENCE,CEASE,STNTYPE
C2N1032,Beta,VENTERSDORP,-26.25928,26.62218,F,1989/12/06,2013/07/24,GW
C2N1033,Ventersdraai,VENTERSDORP,-26.25406,26.80593,T,1990/01/10,,GW
C2N1034,Grootpan,VENTERSDORP,-26.01411,26.19149,F,1990/09/12,2012/07/26,GW
C2N1035,Klippan,VENTERSDORP,-26.10469,26.48583,F,1990/09/05,2010/11/24,GW
C2N1036,Klippan,VENTERSDORP,-26.10715,26.47792,F,1990/09/07,2018/01/10,GW
C2N1037,Grootpan,VENTERSDORP,-26.02496,26.48956,T,1990/01/10,,GW
C2N1038,Doornkop,VENTERSDORP,-26.00722222,26.46194444,F,1990/09/28,2004/11/02,GW
C2N1039,Rietpan,VENTERSDORP,-25.99215,26.60698,F,1990/08/28,2008/10/09,GW
C2N1040,Wesrand Landbou Hoewes,WESRAND,-26.31805556,27.74138889,F,1989/09/19,1991/08/30,GW
C2N1042,Hartebeestfontein,VENTERSDORP,-26.865,26.78888889,F,1967/06/30,1993/11/30,GW
C2N1044,Hartebeestfontein,VENTERSDORP,-26.88944444,26.76083333,F,1967/06/30,1993/11/30,GW
C2N1045,Hartebeestfontein,VENTERSDORP,-26.87083333,26.75611111,F,1967/06/30,1993/11/30,GW
C2N1046,Hartebeestfontein,VENTERSDORP,-26.88222222,26.74972222,F,1967/06/30,1993/11/30,GW
C2N1047,Hartebeestfontein,VENTERSDORP,-26.88222222,26.79805556,F,1967/06/30,1993/11/30,GW
C2N1048,Hartebeestfontein,VENTERSDORP,-26.87055556,26.79666667,F,1967/06/30,1993/11/30,GW
C2N1049,Hartebeestfontein,VENTERSDORP,-26.87,26.79694444,F,1967/06/30,1993/11/30,GW
C2N1050,Hartebeestfontein,VENTERSDORP,-26.86944444,26.79666667,F,1967/06/30,1993/08/31,GW
C2N1051,Hartebeestfontein,VENTERSDORP,-26.87027778,26.79777778,F,1967/06/30,1993/11/30,GW
C2N1052,Hartebeestfontein,VENTERSDORP,-26.87611111,26.78166667,F,1967/06/30,1993/11/30,GW
C2N1053,Hartebeestfontein,VENTERSDORP,-26.86305556,26.80722222,F,1967/06/30,1993/06/30,GW
C2N1054,Hartebeestfontein,VENTERSDORP,-26.86388889,26.80805556,F,1967/06/30,1993/11/30,GW
C2N1055,Hartebeestfontein,VENTERSDORP,-26.86333333,26.80861111,F,1967/06/30,1993/11/30,GW
C2N1057,Hartebeestfontein,VENTERSDORP,-26.87333333,26.79361111,F,1967/06/30,1993/11/30,GW
